Catalog#;Artist;Title;Label;Format;Released;release_id
"REP 44 237, MS 2144";Tom Paxton;New Songs For Old Friends;"Reprise Records, Reprise Records";"LP, Album, Gat";1973;2938503
"REP 54 116, REP K 54 116";Neil Young & Crazy Horse;Reactor;"Reprise Records, Reprise Records";"LP, Album";1981;9293107
"REP 64037 , (3RS 2257)";Neil Young;Decade;"Reprise Records, Reprise Records";"3xLP, Comp, 3-P";1977;11517612
4B063-99544;"Guy Lukowski, Philippe Lemaigre";La Guitare En Duo;RKM;LP;1977;18937777
4C 054-97633;Raymond van het Groenewoud;Het Beste Van Raymond van het Groenewoud;RKM;LP;1976;1158695
COC 59103;The Rolling Stones;It's Only Rock 'N Roll;Rolling Stones Records;"LP, Album, Gat";1974;1595003
COC 59106;The Rolling Stones;Black And Blue;Rolling Stones Records;"LP, Album, Gat";1976;935003
2394 116;Eric Clapton;Eric Clapton's Rainbow Concert;RSO;"LP, Album, MP, Gat";1973;3081022
27 320 ET;J.J. Cale;Naturally;Shelter Records;"LP, Album, RE";1978;1821455
67.613;J.J. Cale;Really;Shelter Records;"LP, Album";1975;3067769
67.618;J.J. Cale;Troubadour;Shelter Records;"LP, Album, RE";1977;942616
SR 6036;Talking Heads;Talking Heads: 77;Sire;"LP, Album, Los";1977;192870
"2M 048-52150, 2M 048-52.150";Pink Floyd;Relics;"Sounds Superb, Sounds Superb, Music For Pleasure";"LP, Comp, Mono, RE";1975;1985717
MU 7417;Barry Skinner;Abroad As I Was Working;Stoof;"LP, Album";1975;4927829
SS 2-201;Led Zeppelin;The Soundtrack From The Film The Song Remains The Same;Swan Song;"2xLP, Album, Club";1976;2525419
"83387, TKR 83387";Jimmy "Bo" Horne;Best Of Jimmy 'Bo' Horne;"T.K. Records, T.K. Records";"LP, Comp";1980;208448
T 373;Stevie Wonder;Hotter Than July;Tamla;"LP, Album, Gat";1980;849524
"STML 12140, 0C 062·64 049";The Temptations;20 Golden Greats;"Tamla Motown, Tamla Motown";"LP, Comp, Bla";1980;1669938
"ISLD 11, ISLD 11-1(I), ISLD 11-2(I)";Bob Marley & The Wailers;Babylon By Bus;"Tuff Gong, Tuff Gong, Tuff Gong";"2xLP, Album";1978;15245291
4C 058-60395;Gerry Rafferty;City To City;United Artists Records;"LP, Album, Bov";1978;1459099
"ULGA 1777, ULGA-1777";Love Unlimited Orchestra With Webster Lewis;Welcome Aboard;"Unlimited Gold, Unlimited Gold";"7"", Single";1981;581390
6359 109;Dire Straits;Love Over Gold;Vertigo;"LP, Album";1982;372180
6360 068;Magna Carta;In Concert;Vertigo;"LP, Album, Hor";1972;1986875
6360 129;Graham Parker;Howlin Wind;Vertigo;"LP, Album";1976;776731
6360 154;Thin Lizzy;Bad Reputation;Vertigo;"LP, Album";1977;1031876
6360 162;Dire Straits;Dire Straits;Vertigo;"LP, Album";1978;2517060
6641 810;Thin Lizzy;Live And Dangerous;Vertigo;"2xLP, Album";1978;1533054
SPORT 1;Various;Supertracks;Vertigo;"LP, Comp";1976;1790422
"6303 103, 6303103";Nazareth (2);Loud'N'Proud;"Vertigo, Vertigo";"LP, Album, Gat";1974;548057
600 843-213;Coati Mundi;¿Como Esta Usted? (Trans: How Are You?) Parts 1 & 2;Virgin;"12"", Maxi";1983;1916717
606305;The League Unlimited Orchestra;Love And Dancing;Virgin;"LP, Album";1982;6097604
87541 IT;Mike Oldfield;Tubular Bells;Virgin;"LP, Album";1973;418835
VD2501;Kevin Coyne;Marjory Razor Blade;Virgin;"2xLP, Album, Not";1973;6875411
925 110-1;Prince And The Revolution;Purple Rain;Warner Bros. Records;"LP, Album, RSA";1984;125874
WB 56234;Rod Stewart;A Night On The Town;Warner Bros. Records;"LP, Album, Emb";1976;1869423
WB 66076;The Band;The Last Waltz;Warner Bros. Records;"3xLP, Album";0;29381395
"92.3743-1, 92. 3743-1";Rod Stewart;Absolutely Live;"Warner Bros. Records, Warner Bros. Records";"2xLP, Album";1982;526546
"K 56404, BSK 3079";Randy Newman;Little Criminals;"Warner Bros. Records, Warner Bros. Records";"LP, Album";1977;931875
"K46127, K 46127";Various;Stanley Kubrick's A Clockwork Orange (Music From The Soundtrack);"Warner Bros. Records, Warner Bros. Records";"LP, Album";1971;370015
"WB 56 434, BSK 3136";America (2);Live;"Warner Bros. Records, Warner Bros. Records";"LP, Album";1977;427140
25-0070-1;Al Jarreau;Jarreau;WEA;"LP, Album";1983;448931
WBN 56.774;The Pretenders;Pretenders;WEA;"LP, Album";1980;9611076
;Andy Pratt;Resolution;;;;1689553
;Marmalade;The Only Light On My Horizon Now;;;;1643493
;Neil Young With Crazy Horse;Journey Through The Past;;;;2949413
;Bo Diddley;The London Bo Diddley Sessions;;;;3845750
;Zjef Vanuytsel;Portret;;;;4600522
;"Crosby, Stills, Nash & Young";Déjà Vu;;;;1132195
;Van Halen;Van Halen II;;;;7132977
;Van Halen;Van Halen;;;;5897065
;Eddy And The HotRods;Life On The Line;;;;2275716
;The Doobie Brothers;What Were Once Vices Are Now Habits;;;;2781512
;Todd Rundgren;Faithfull;;;;4897560
;Foghat;Foghat Live;;;;2507855
;Lynyrd Skynyrd;Gold & Platinum;;;;5630266
;Van Morrison;Tupelo Honey;;;;1678623
;The Mothers;Just Another Band From L.A.;;;;10792126
;Motörhead;The Golden Years - Live EP;;;;452777
